Arg1,Predicate,Arg2,title
27,presented,32,"Kennedy expertly presented his platform and himself using a new medium, television."
27,was,33,"Kennedy was the first Catholic elected president.
"
27,increased,34,"As a result, he increased the number of American military advisers in South Vietnam."
27,authorized,35,"In April 1961, he authorized an attempt to overthrow the Cuban government of Fidel Castro in the failed Bay of Pigs Invasion."
27,authorized,36,Kennedy authorized the Cuban Project in November 1961.
27,rejected,37,He rejected Operation Northwoods (plans for false flag attacks to gain approval for a war against Cuba) in March 1962.
27,signed,38,He also signed the first nuclear weapons treaty in October 1963.
27,supported,39,"He also supported the African-American civil rights movement, but was only somewhat successful in passing his New Frontier domestic policies.
"
27,was,40,"The FBI and the Warren Commission both concluded Oswald had acted alone in the assassination, but various groups contested the Warren Report and believed that Kennedy was the victim of a conspiracy."
41,was,25,"Lyndon Baines Johnson, often referred to by his initials LBJ, was an American politician who served as the 36th president of the United States from 1963 to 1969, and previously as 37th vice president from 1961 to 1963."
41,assumed,42,He assumed the presidency following the assassination of President John F. Kennedy.
43,won,6,Johnson won election to the United States Senate from Texas in 1948 after narrowly winning the Democratic Party's nomination.
43,became,44,He became the Senate leader of the Democrats in 1953.
43,became,45,"Although unsuccessful, he became the running mate of the nominee Senator John F. Kennedy"
43,won,46,"With 61.1 percent of the popular vote, Johnson won the largest share of the popular vote of any candidate since 1820.
"
47,led,48,"In domestic policy, Johnson's ""Great Society"" and ""War on Poverty"" programs led to legislation to expand civil rights, public broadcasting, Medicare, Medicaid, aid to education and the arts, urban and rural development and public services."
49,led,48,"In domestic policy, Johnson's ""Great Society"" and ""War on Poverty"" programs led to legislation to expand civil rights, public broadcasting, Medicare, Medicaid, aid to education and the arts, urban and rural development and public services."
50,opposed,51,"Unlike the majority of southern politicians, he opposed racial segregation, signing civil rights bills to ban racial discrimination in public facilities, interstate commerce, the workplace and housing."
52,ended,53,"The Voting Rights Act ended the mass disenfranchisement of African Americans in the South, and the Immigration and Nationality Act of 1965 permitted greater immigration from regions other than Europe."
54,permitted,55,"The Voting Rights Act ended the mass disenfranchisement of African Americans in the South, and the Immigration and Nationality Act of 1965 permitted greater immigration from regions other than Europe."
56,marked,57,"Johnson's presidency marked the peak of modern liberalism in the United States.
"
58,escalated,59,"In foreign policy, Johnson escalated American involvement in the Vietnam War."
58,faced,60,"Johnson faced further troubles when summer riots began in major cities in 1965 and crime rates soared, as his right-wing opponents raised demands for ""law and order"" policies."
58,began,42,"While Johnson began his presidency with widespread approval, support for him declined as the public became frustrated with both the war and social unrest."
58,ended,61,"In 1968, he ended his bid for renomination after a disappointing result in the New Hampshire primary."
58,drawn,62,"Johnson is ranked favorably by many historians because of his domestic policies and the passage of many major laws that affected civil rights, gun control, wilderness preservation, and Social Security, although he has also drawn substantial criticism for his escalation of the Vietnam War.
"
63,was,64,"Richard Milhous Nixon was the 37th president of the United States, serving from 1969 until 1974."
65,was,45,"He was the running mate of Dwight D. Eisenhower, the Republican Party's presidential nominee in the 1952 election, subsequently serving for eight years as the vice president."
65,ended,59,"Nixon ended American involvement in Vietnam in 1973, ending the military draft that same year."
65,gained,66,"Nixon's visit to China in 1972 eventually led to diplomatic relations between the two nations, and he gained the Anti-Ballistic Missile Treaty with the Soviet Union the same year."
65,imposed,67,"He imposed wage and price controls for 90 days, enforced desegregation of Southern schools, established the Environmental Protection Agency, and began the War on Cancer."
65,imposed,68,"He imposed wage and price controls for 90 days, enforced desegregation of Southern schools, established the Environmental Protection Agency, and began the War on Cancer."
65,defeated,69,"He was re-elected in one of the largest electoral landslides in American history in 1972 when he defeated George McGovern.
"
65,ordered,70,"In his second term, Nixon ordered an airlift to resupply Israeli losses in the Yom Kippur War, a war which led to the oil crisis at home."
65,became,71,"On August 9, 1974, facing almost certain impeachment and removal from office, he became the first American president to resign."
65,was issued,72,"After his resignation, he was issued a pardon by his successor, Gerald Ford."
65,wrote,73,"In 20 years of retirement, Nixon wrote his memoirs and nine other books and undertook many foreign trips, rehabilitating his image into that of an elder statesman and leading expert on foreign affairs."
65,wrote,74,"In 20 years of retirement, Nixon wrote his memoirs and nine other books and undertook many foreign trips, rehabilitating his image into that of an elder statesman and leading expert on foreign affairs."
65,suffered,75,"He suffered a debilitating stroke on April 18, 1994, and died four days later at age 81."
76,was,25,Gerald Rudolph Ford Jr. was an American politician who served as the 38th president of the United States from August 1974 to January 1977.
77,is,78,"Ford is the only person to have served as both vice president and president without being elected to either office by the Electoral College.
"
77,attended,79,"Born in Omaha, Nebraska, and raised in Grand Rapids, Michigan, Ford attended the University of Michigan and Yale Law School."
77,attended,80,"Born in Omaha, Nebraska, and raised in Grand Rapids, Michigan, Ford attended the University of Michigan and Yale Law School."
77,began,81,Ford began his political career in 1949 as the U.S. representative from Michigan's 5th congressional district.
77,became,78,"In December 1973, two months after the resignation of Spiro Agnew, Ford became the first person appointed to the vice presidency under the terms of the 25th Amendment by President Richard Nixon."
77,assumed,42,"After the subsequent resignation of President Nixon in August 1974, Ford immediately assumed the presidency."
77,signed,82,"As president, Ford signed the Helsinki Accords, which marked a move toward détente in the Cold War."
50,granted,83,"In one of his most controversial acts, he granted a presidential pardon to President Richard Nixon for his role in the Watergate scandal."
84,began,85,"During Ford's presidency, foreign policy was characterized in procedural terms by the increased role Congress began to play, and by the corresponding curb on the powers of the President."
77,defeated,86,"In the Republican presidential primary campaign of 1976, Ford defeated former California Governor Ronald Reagan for the Republican nomination."
87,lost,88,"He narrowly lost the presidential election to the Democratic challenger, former Georgia Governor Jimmy Carter."
89,have ranked,77,"Surveys of historians and political scientists have ranked Ford as a below-average president.
"
77,set,90,"In retirement, Ford set aside the enmity he had felt towards Carter following the 1976 election, and the two former presidents developed a close friendship."
91,developed,92,"In retirement, Ford set aside the enmity he had felt towards Carter following the 1976 election, and the two former presidents developed a close friendship."
93,is,25,James Earl Carter Jr. is an American politician and philanthropist who served as the 39th president of the United States from 1977 to 1981.
93,is,94,James Earl Carter Jr. is an American politician and philanthropist who served as the 39th president of the United States from 1977 to 1981.
93,was awarded,95,"In 2002, he was awarded the Nobel Peace Prize for his work in co-founding the Carter Center.
"
96,left,97,"After the death of his father in 1953, Carter left his naval career and returned home to Georgia to take up the reins of his family's peanut-growing business."
96,inherited,98,Carter inherited comparatively little due to his father's forgiveness of debts and the division of the estate among the children.
96,was motivated,99,"During this period, Carter was motivated to oppose the political climate of racial segregation and support the growing civil rights movement."
96,was motivated,100,"During this period, Carter was motivated to oppose the political climate of racial segregation and support the growing civil rights movement."
96,became,101,He became an activist within the Democratic Party.
96,won,102,"Despite being a dark-horse candidate who was little known outside of Georgia at the start of the campaign, Carter won the 1976 Democratic presidential nomination."
103,pursued,104,"In foreign affairs, Carter pursued the Camp David Accords, the Panama Canal Treaties, the second round of Strategic Arms Limitation Talks (SALT II), and the return of the Panama Canal Zone to Panama."
103,escalated,105,"In response to the invasion, Carter escalated the Cold War when he ended détente, imposed a grain embargo against the Soviets, enunciated the Carter Doctrine, and led a 1980 Summer Olympics boycott in Moscow."
103,ended,106,"In response to the invasion, Carter escalated the Cold War when he ended détente, imposed a grain embargo against the Soviets, enunciated the Carter Doctrine, and led a 1980 Summer Olympics boycott in Moscow."
103,faced,107,"In 1980, Carter faced a challenge from Senator Ted Kennedy in the primaries, but he won re-nomination at the 1980 Democratic National Convention."
103,won,108,"In 1980, Carter faced a challenge from Senator Ted Kennedy in the primaries, but he won re-nomination at the 1980 Democratic National Convention."
103,lost,109,Carter lost the general election to Republican nominee Ronald Reagan in an electoral landslide.
103,is,110,He is the only president in American history to serve a full term of office and never appoint a justice to the Supreme Court.
103,established,111,"In 1982, Carter established the Carter Center to promote and expand human rights."
103,is considered,112,Carter is considered a key figure in the Habitat for Humanity charity.
103,has written,74,"He has written over 30 books, ranging from political memoirs to poetry, while continuing to actively comment on ongoing American and global affairs such as the Israeli-Palestinian conflict.
"
113,was,25,Ronald Wilson Reagan was an American politician who served as the 40th president of the United States from 1981 to 1989 and became a highly influential voice of modern conservatism.
113,was,114,"Prior to his presidency, he was a Hollywood actor and union leader before serving as the 33rd governor of California from 1967 to 1975.
"
113,was,115,"Prior to his presidency, he was a Hollywood actor and union leader before serving as the 33rd governor of California from 1967 to 1975.
"
116,found,117,"After moving to California in 1937, he found work as an actor and starred in a few major productions."
116,was elected,118,"Building a network of supporters, Reagan was elected governor of California in 1966."
116,raised,119,"As governor, he raised taxes, turned a state budget deficit to a surplus, challenged the protesters at UC Berkeley, and ordered in National Guard troops during a period of protest movements.
"
116,won,120,"In 1980, Reagan won the Republican presidential nomination and defeated the incumbent president, Jimmy Carter."
116,was,121,"At 69 years of age at the time of his first inauguration, Reagan was the oldest first-term U.S. president, a distinction he held until 2017 when Donald Trump was inaugurated at age 70."
116,began,122,"Immediately on taking office as president, Reagan began implementing sweeping new political and economic initiatives."
116,won,123,Reagan won over enough conservative Democrats to pass his program through Congress.
116,won,124,Reagan won over enough conservative Democrats to pass his program through Congress.
116,enacted,125,"Reagan enacted cuts in domestic discretionary spending, cut taxes, and increased military spending, which contributed to increased federal debt overall."
116,survived,126,"In his first term, he survived an assassination attempt, spurred the War on Drugs, and fought public sector labor unions.
"
50,denounced,127,"In foreign affairs, he denounced communism and invaded the island country of Grenada after Communist elements took control; as a result a new government was appointed by the governor-general."
128,took,129,"In foreign affairs, he denounced communism and invaded the island country of Grenada after Communist elements took control; as a result a new government was appointed by the governor-general."
130,dominated,131,"With the economy booming again, foreign affair crises dominated his second term."
132,were,133,"Major concerns were the bombing of Libya, the Iran–Iraq War, the Iran–Contra affair, and the renewed Cold War."
50,described,134,"In June 1987, four years after he publicly described the Soviet Union as an ""evil empire"", Reagan challenged Soviet leader Mikhail Gorbachev to ""tear down this wall!"""
116,challenged,135,"In June 1987, four years after he publicly described the Soviet Union as an ""evil empire"", Reagan challenged Soviet leader Mikhail Gorbachev to ""tear down this wall!"""
116,challenged,136,"In June 1987, four years after he publicly described the Soviet Union as an ""evil empire"", Reagan challenged Soviet leader Mikhail Gorbachev to ""tear down this wall!"""
87,transitioned,137,He transitioned Cold War policy from détente to rollback by escalating an arms race with the USSR.
138,shrank,139,"He then engaged in talks with Gorbachev that culminated in the INF Treaty, which shrank both countries' nuclear arsenals.
"
116,left,140,"When Reagan left office in January 1989, he held an approval rating of 68%, matching those of Franklin D. Roosevelt, and later Bill Clinton as the highest ratings for departing presidents in the 20th Century."
116,held,141,"When Reagan left office in January 1989, he held an approval rating of 68%, matching those of Franklin D. Roosevelt, and later Bill Clinton as the highest ratings for departing presidents in the 20th Century."
116,had planned,42,"Although he had planned an active post-presidency, Reagan disclosed in November 1994 that he had been diagnosed with Alzheimer's disease earlier that year."
116,is,142,"His tenure constituted a realignment toward conservative policies in the United States, and he is an icon among conservatives."
143,established,144,"After the war, he graduated from Yale and moved to West Texas, where he established a successful oil company."
143,won,6,"After an unsuccessful run for the United States Senate, he won election to the 7th congressional district of Texas in 1966."
143,became,145,"In 1974, President Gerald Ford appointed him as the Chief of the Liaison Office to the People's Republic of China, and in 1976 Bush became the Director of Central Intelligence."
143,elected,146,"He was then elected vice president in 1980 and 1984 as Reagan's running mate.
"
143,defeated,147,"In the 1988 presidential election, Bush defeated Democrat Michael Dukakis, becoming the first incumbent vice president to be elected president since Martin Van Buren in 1836."
143,navigated,148,"Foreign policy drove the Bush presidency, as he navigated the final years of the Cold War and played a key role in the reunification of Germany."
143,left,140,"Though the agreement was not ratified until after he left office, Bush negotiated and signed the North American Free Trade Agreement (NAFTA), which created a trade bloc consisting of the United States, Canada, and Mexico."
143,signed,54,He also signed the Americans with Disabilities Act of 1990 and appointed David Souter and Clarence Thomas to the Supreme Court.
143,lost,88,"Bush lost the 1992 presidential election to Democrat Bill Clinton following an economic recession and the decreased emphasis of foreign policy in a post–Cold War political climate.
"
